,keyword,state,id,company,contract_time,contract_type,latitude,longitude,area,redirect_url,created,title,salary_min,salary_max,description
20,Data Analyst,Victoria,1689057990,Randstad,full_time,contract,,,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1689057990?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=C85126F1244EC3E1D6AE3DEA0EF43A048189535F,2020-09-05T22:26:06Z,data analyst in Melbourne,0,0,This role works collaboratively in a team to build and provide reporting and data analysis in order to support decision making for a State Government department located in Melbourne CBD. Key responsibilites: Collaborating with the strategic analysis team to provide the data and analysis required to deliver solutions. Provide commentary to support decision making and insight. Identify trends and to work proactively with stakeholders to explain the data. Delivering integrated workforce reporting …
21,Data Analyst,Victoria,1693001910,Victorian Government,full_time,contract,-37.813611,144.963056,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne', 'Melbourne CBD']",https://www.adzuna.com.au/details/1693001910?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=764ABB6FAB9717C7FC396A5C67CBA945F2732436,2020-09-08T20:25:57Z,Senior Data Analyst,0,0,"Senior Data Analyst (5 months fixed term, Full-time) An opportunity exists to work in a newly established division of the Department of Education and Training to help plan for and respond to student enrolment growth across Victoria. The New Schools and Education Plans Division was established to lead strategic oversight of projects that have a strong interface between the Victorian School Building Authority (VSBA) and Schools and Regional Services Group (SRSG). The team brings together key exis…"
22,Data Analyst,Victoria,1710945418,Clicks IT Recruitment,full_time,contract,,,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1710945418?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=195854925090F1797CE61C2C94DCFC6E076F6558,2020-09-18T10:08:28Z,Multiple Data Analysts,0,0,"Our client, a large Federal Government Department is seeking a several Data Analysts to assist with working on a major program to support the Australian community through a challenging environment. The successful candidates will join a team who will focus on the data and analytics program that underpins the program from working with large volumes of data, building analytical models, enabling integrity measures and generating reporting insights. Skills & Experience Expertise in relational databa…"
23,Data Analyst,Victoria,1614502517,Afterpay Touch,full_time,permanent,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1614502517?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=BF6BE05C99CBABA2DCB15CDA7279CDE958F45293,2020-07-25T04:54:38Z,"Data Analyst, Finance Analytics",0,0,"Data Analyst, Finance Analytics Melbourne / Risk & Analytics – Risk & Analytics / Permanent Full-time Apply for this job About Us From an Australian-born company to a rapidly growing global business, we’re on the ride of a lifetime We’re on a mission to be the world’s most loved way to pay. We love connecting our customers with brands they love and empowering them to spend their money and buy what they want in a responsible way. We’re all about building a high-performing team, where our teams c…"
24,Data Analyst,Victoria,1682490678,TAL Group,full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1682490678?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=607470F6261EC90391520F42BB7CAF335A8EF017,2020-09-02T11:40:21Z,Regulatory & Compliance Data Analyst,0,0,"Data Analyst – Regulatory and Compliance Melbourne/Sydney Welcome to This Australian Life. From the millions of Australians we protect, to those that make it happen every day at TAL, people really are what we’re all about. TAL needs people who represent our diverse Australian community. People who embrace our spirit and inspire confidence in their colleagues, customers and community. People who are passionate about making the most of the choices and options we provide. People who do what’s righ…"
25,Data Analyst,Victoria,1663275437,The Next Step,full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1663275437?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=65529AD85637348B47B5413FACCD627743C0B809,2020-08-26T12:32:41Z,Human Resources Data Analyst,0,0,"Join the Learning and Engagement team of this expanding, essential services organisation. As part of the strategic People & Culture plan, a full life-cycle HRIS system has been selected, approved and is ready to be implemented First point of call will be a comprehensive Learning Management System for a multi-site workforce. This ROLE will require you to Ensure ongoing road map planning, system updates, fault response, reporting, systems insights and recommendations are provided. Provide support…"
26,Data Analyst,Victoria,1699830881,Vanguard,full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1699830881?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=171531CAD2A925D0B4B6C223F23F742DBDCDA589,2020-09-12T11:42:51Z,Lead CX Data Analyst,0,0,"In Vanguard's Client Experience & Digital (CXD) department, our goal is to evolve and enhance our clients’ digital experiences. As an analyst, you will wrangle data and perform descriptive analyses, design and measure experiments with statistical rigor, and visualize data to deliver actionable insights. As the analytics expert working in a cross-functional team, you will use data to drive strategy, uncover areas of opportunity, and apply statistics to enhance the client experience. We are looki…"
27,Data Analyst,Victoria,1699830883,Vanguard,full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1699830883?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=0907925D20B84EF7AF0A894C24163FEB6BC23FAB,2020-09-12T11:42:51Z,Senior CX Data Analyst,0,0,"In Vanguard's Client Experience & Digital (CXD) department, our goal is to evolve and enhance our clients’ digital experiences. As an analyst, you will wrangle data and perform descriptive analyses, design and measure experiments with statistical rigor, and visualize data to deliver actionable insights. As the analytics expert working in a cross-functional team, you will use data to inform strategy, uncover areas of opportunity, and apply statistics to enhance the client experience. Client Expe…"
28,Data Analyst,Victoria,1712940014,Vanguard,full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1712940014?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=D9C11B08E656937C0B961845DC6B5C4C9EDF413B,2020-09-19T11:45:01Z,Sr. CX Data Analyst,0,0,"In Vanguard's Client Experience & Digital (CXD) department, our goal is to evolve and enhance our clients’ digital experiences. As an analyst, you will wrangle data and perform descriptive analyses, design and measure experiments with statistical rigor, and visualize data to deliver actionable insights. As the analytics expert working in a cross-functional team, you will use data to inform strategy, uncover areas of opportunity, and apply statistics to enhance the client experience. Client Expe…"
29,Data Analyst,Victoria,1613916913,Finite IT,,contract,-37.813611,144.963056,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne', 'Melbourne CBD']",https://www.adzuna.com.au/details/1613916913?se=rpxKWb786hGtpcIYVJzbgw&utm_medium=api&utm_source=1bfedc88&v=373C2C6B19CDEB949F2D48DEBC2DB74A6E525A53,2020-07-24T15:42:26Z,Senior Data Analyst Engineer -M11,500,650,Who we are: FinXL IT Professional Services is an innovative Australian owned company providing our clients with technology enabled business solutions and consulting services.The Finite group is a multi-award winning consultancy recognised across Australia and New Zealand for excellence in recruitment for the technology consultancy space. We have 20 years of year on year success. Our teams specialise in the following areas of technology recruitment (contract and permanent): DevOps | Business Int…
